"","Serotype","overall.invasiveness","overall.invasiveness.low","overall.invasiveness.high","Serogroup"
"1","13",0.000698852436218109,0.000267140895447724,0.000981490930465233,"NVT"
"2","14",0.00024613060030015,0.00022261907953977,0.000274644572286143,"VT7"
"3","3",0.000371692126063032,0.000321167368684342,0.000431721540770385,"VT13"
"4","31",0.000130573976988494,6.65426013006503e-05,0.000359185997999,"NVT"
"5","34",2.75234817408704e-05,1.35166183091546e-05,7.10448074037018e-05,"NVT"
"6","37",3.00247073536768e-05,1.40168634317159e-05,9.55568184092046e-05,"NVT"
"7","38",0.000279647023511756,0.000149583291645823,0.000755380135067534,"NVT"
"8","10A",4.90340220110055e-05,2.75234817408704e-05,0.000107562701350675,"NVT"
"9","11A",5.05347573786893e-05,3.60276488244122e-05,7.45465232616308e-05,"NVT"
"10","15B/C",2.45220110055028e-05,1.50173536768384e-05,4.35313256628314e-05,"NVT"
"11","16F",5.25357378689345e-05,3.45269134567284e-05,8.15499549774887e-05,"NVT"
"12","18C",0.000223619569784892,0.000155586233116558,0.000358685752876438,"VT7"
"13","19A",9.95587793896948e-05,7.65475037518759e-05,0.000130073731865933,"VT13"
"14","19F",3.7528384192096e-05,3.05249524762381e-05,4.70330415207604e-05,"VT7"
"15","21",1.75185792896448e-05,1.10153926963482e-05,7.25455427713857e-05,"NVT"
"16","22F",0.000314163936968484,0.000213114422211106,0.000529269339669835,"NVT"
"17","23A",4.35313256628314e-05,2.40217658829415e-05,9.35558379189595e-05,"NVT"
"18","23F",7.3045787893947e-05,6.15401500750375e-05,8.75528964482241e-05,"VT7"
"19","33F",0.000129573486743372,5.85386793396698e-05,0.0006563316008004,"NVT"
"20","35B",5.15352476238119e-05,2.45220110055028e-05,0.000148082556278139,"NVT"
"21","35F",2.70232366183092e-05,1.65180890445223e-05,4.70330415207604e-05,"NVT"
"22","6A",3.7528384192096e-05,2.90242171085543e-05,4.95342671335668e-05,"VT13"
"23","6B",3.90291195597799e-05,3.2025687843922e-05,4.80335317658829e-05,"VT7"
"24","7F",0.001,0.000601804882441221,0.000994497303651826,"VT10"
"25","9N",0.000684345327663832,0.000390201195597799,0.00098049044022011,"NVT"
"26","9V",0.000578793606803402,0.000504257083541771,0.000704355132566283,"VT7"
"27","1",0.0015607896098049,0.000890454777388694,0.00447224388194097,"VT10"
"28","20",0.00111056472236118,0.000600309849924962,0.00419210395197599,"NVT"
"29","4",0.00129065467733867,0.00101051474737369,0.0023711944072036,"VT7"
"30","8",0.0024312243921961,0.00185093453726863,0.00734367816408204,"NVT"
"31","24F",0.000180099954977489,8.0049979989995e-05,0.000920469769884943,"NVT"
"32","17F",0.000450234887443722,0.000220119944972486,0.00616308845922961,"NVT"
"33","35A",0.000150084962481241,6.00399849924963e-05,0.0096048075987994,"NVT"
