"","Serotype","overall.invasiveness","overall.invasiveness.low","overall.invasiveness.high","Serogroup"
"1","20",0.000405208549274637,0.000108062946473237,0.000968984802401201,"NVT"
"2","3",0.000111564662331166,7.3045787893947e-05,0.000185600940470235,"VT13"
"3","37",1.10153926963482e-05,1.05151475737869e-05,9.50565732866433e-05,"NVT"
"4","38",0.000375694087043522,0.000178597508754377,0.00089845024012006,"NVT"
"5","8",0.000833418374187094,0.000363688204102051,0.000986493381690845,"NVT"
"6","10A",2.8523971985993e-05,1.45171085542771e-05,6.55421110555278e-05,"NVT"
"7","11A",2.00198049024512e-05,1.15156378189095e-05,4.05298549274637e-05,"NVT"
"8","15A",3.65278939469735e-05,1.45171085542771e-05,0.000380196293146573,"NVT"
"9","15B/C",3.2025687843922e-05,1.90193146573287e-05,5.80384342171086e-05,"NVT"
"10","16F",2.80237268634317e-05,1.40168634317159e-05,6.35411305652826e-05,"NVT"
"11","18A",1.6017843921961e-05,1.10153926963482e-05,0.000117567603801901,"NVT"
"12","18C",0.000880441415707854,0.000696851455727864,0.000990495342671336,"VT7"
"13","19A",0.000439725462731366,0.000346179624812406,0.000561285027513757,"VT13"
"14","19F",0.000150583781890945,0.000126572016008004,0.000178597508754377,"VT7"
"15","22F",0.000296655357678839,0.000154085497748874,0.000708357093546773,"NVT"
"16","23A",7.60472586293147e-05,4.15303451725863e-05,0.000160588684342171,"NVT"
"17","23B",3.05249524762381e-05,1.30163731865933e-05,0.000146081575787894,"NVT"
"18","23F",0.000163089909954977,0.00013657691845923,0.000194105107553777,"VT7"
"19","24F",8.00492196098049e-05,2.75234817408704e-05,0.000608308069034517,"NVT"
"20","34",1.05151475737869e-05,1.05151475737869e-05,7.35460330165082e-05,"NVT"
"21","35F",1.90193146573287e-05,1.10153926963482e-05,4.55323061530765e-05,"NVT"
"22","6A",0.000122570055027514,0.000100059024512256,0.000150083536768384,"VT13"
"23","6B",0.000263639179589795,0.000231623491745873,0.000299156583291646,"VT7"
"24","9N",0.000182599469734867,9.85582891445723e-05,0.000438224727363682,"NVT"
"25","9V",0.00079289851925963,0.000587798019009505,0.000978489459729865,"VT7"
"26","17F",0.000213114422211106,6.10399049524762e-05,0.000954477693846924,"NVT"
"27","33F",0.000106562211105553,3.90291195597799e-05,0.000668337483741871,"NVT"
"28","21",1.6017843921961e-05,1.10153926963482e-05,0.000117567603801901,"NVT"
"29","35B",3.15254427213607e-05,1.30163731865933e-05,0.000153585252626313,"NVT"
"30","14",0.00104652802901451,0.000952481475737869,0.00115458151575788,"VT7"
"31","27",0.000525270005002501,0.000122070420210105,0.00192296186593297,"NVT"
"32","4",0.00219110445222611,0.00143072464232116,0.00377189405702851,"VT7"
"33","7F",0.00163082459229615,0.000990504752376188,0.00256128935967984,"VT10"
"34","18B",0.000210114947473737,7.00449824912456e-05,0.00216108945972986,"NVT"
"35","31",0.000120069969984992,5.00349874937469e-05,0.00064032983991996,"NVT"
"36","13",0.000430224892446223,0.000170094957478739,0.0031615892096048,"NVT"
"37","12F",0.000210114947473737,9.00549774887444e-05,0.00411206397198599,"NVT"
"38","1",0.00600301090045023,0.00320161048024012,0.0147573872136068,"VT10"
"39","5",0.00575288586293147,0.00215108532266133,0.034467240170085,"VT10"
