"","Serotype","overall.invasiveness","overall.invasiveness.low","overall.invasiveness.high","Serogroup"
"1","10A",0.000309661730865433,0.000212614177088544,0.000473742131065533,"NVT"
"2","11A",3.95293646823412e-05,2.00198049024512e-05,8.05494647323662e-05,"NVT"
"3","15A",0.000283148739369685,0.000192604372186093,0.000435723501750875,"NVT"
"4","15B/C",0.000221118344172086,0.000165090890445223,0.000303158544272136,"NVT"
"5","16F",0.000146581820910455,7.80482391195598e-05,0.000308160995497749,"NVT"
"6","17F",0.000157587213606803,8.60521610805403e-05,0.000318165897948974,"NVT"
"7","19A",0.001,0.00087093675837919,0.000998499264632316,"VT13"
"8","19F",0.000247131090545273,0.000165090890445223,0.00039470340170085,"VT7"
"9","21",0.000142579859929965,7.80482391195598e-05,0.000283648984492246,"NVT"
"10","22F",0.000530269829914957,0.000370691635817909,0.000795399744872436,"NVT"
"11","23A",5.10350025012506e-05,2.60227463731866e-05,0.000106061965982991,"NVT"
"12","23B",0.000113065397698849,7.3045787893947e-05,0.000182599469734867,"NVT"
"13","23F",0.000231123246623312,0.00012507128064032,0.000517263456728364,"VT7"
"14","34",2.05200500250125e-05,1.15156378189095e-05,0.000137077163581791,"NVT"
"15","35B",7.10448074037018e-05,3.85288744372186e-05,0.000137077163581791,"NVT"
"16","6A",0.000145581330665333,9.20551025512756e-05,0.000244629864932466,"VT13"
"17","6B",0.000225120305152576,0.000123570545272636,0.000474242376188094,"VT7"
"18","6C",3.35264232116058e-05,1.65180890445223e-05,7.25455427713857e-05,"NVT"
"19","13",0.000210112951475738,5.30359829914957e-05,0.000943972546273137,"NVT"
"20","20",0.00041421296148074,0.000139078144072036,0.000962981860930465,"NVT"
"21","29",8.95538769384692e-05,2.60227463731866e-05,0.000713359544772386,"NVT"
"22","35F",0.000105061475737869,5.3536228114057e-05,0.00022261907953977,"NVT"
"23","42",1.00149024512256e-05,1.55175987993997e-05,0.000852927933966984,"NVT"
"24","7C",0.000276145307653827,0.000110564172086043,0.000813908814407204,"NVT"
"25","9V",0.000526267868934467,0.000206611235617809,0.000970485537768885,"VT7"
"26","15F",0.000230122756378189,7.25455427713857e-05,0.000905453671835918,"NVT"
"27","24B",0.001,0.000277646043021511,0.000987994117058529,"NVT"
"28","31",0.000220117853926963,8.85533866933467e-05,0.000679342876438219,"NVT"
"29","9A",0.000309661730865433,6.85435817908954e-05,0.000965983331665833,"NVT"
"30","9N",6.80433366683342e-05,2.05200500250125e-05,0.000498254142071036,"NVT"
"31","36",1.00149024512256e-05,1.65180890445223e-05,0.00089044631815908,"NVT"
"32","27",0.001,0.000243629374687344,0.000987493871935968,"NVT"
"33","1",0.0153877,0.00910456,0.02967484,"VT10"
"34","5",0.00203102449224612,0.00101051474737369,0.0120060069984992,"VT10"
"35","7F",0.00626313843421711,0.00423212394197099,0.00838419790395198,"VT10"
"36","12F",0.00753377311655828,0.00459230385192596,0.0146073063481741,"NVT"
"37","25A",0.00182091954477239,0.000890454777388694,0.0055527836118059,"NVT"
"38","12B",0.000580299854927464,0.000210114947473737,0.0103251674187094,"NVT"
"39","4",0.000498256633316658,0.000211114497248624,0.0016598316158079,"VT7"
"40","8",0.000630322006003002,0.000301159069534767,0.00172086182591296,"NVT"
"41","10B",0.00024413084042021,6.9044172086043e-05,0.0018359187793897,"NVT"
"42","33F",0.000902456713356678,0.000590302196098049,0.00151576030015008,"NVT"
"43","38",0.000681347263631816,0.000350183336668334,0.00159379892946473,"NVT"
"44","24F",0.002,0.00139870235617809,0.00199399702851426,"NVT"
"45","18C",0.00105253100050025,0.000538276443221611,0.00192396236118059,"VT7"
"46","18A",0.000234125887943972,6.70431815907954e-05,0.00182891531265633,"NVT"
"47","3",0.00155277862431216,0.00107454189594797,0.00196498266633317,"VT13"
"48","14",0.000855433436718359,0.000527270995497749,0.00166083211105553,"VT7"
"49","33A",5.00350075037519e-05,5.00350075037519e-05,0.00130066019509755,"NVT"
"50","37",5.00350075037519e-05,5.00350075037519e-05,0.00165083524762381,"NVT"
