"","Alabama.pre.PCV","E.W.pre.PCV","Portugal.pre.PCV","Stockholm.pre.PCV","Navajo.post.PCV7"
"1","31","8","12B","4","1"
"2","29","4","5","8","7F"
"3","34","17F","1","1","12F"
"4","1","3","20","12F","8"
"5","13","7F","8","20","13"
"6","14","20","10F","7F","9V"
"7","20","9V","13","17F","3"
"8","3","16F","17F","22F","6B"
"9","38","9N","24B","31","9N"
"10","8","38","25F","33F","14"
"11","37","14","35B","19A","18C"
"12","4","34","38","9N","19F"
"13",NA,"35A","7C","9V","22F"
"14",NA,"37","9A","18C","33F"
"15",NA,"10A","9L","3","38"
"16",NA,"18C","24F","11A","11A"
"17",NA,"19A","4","14","16F"
"18",NA,"22F","7F","2","17F"
"19",NA,"31","9N","35A","19A"
"20",NA,"11A","10A","23A","31"
"21",NA,"15B/C","11A","24F","10A"
"22",NA,"18B","14","35F","15A"
"23",NA,"19F","15A","38","10C"
"24",NA,"21","15B/C","15B/C","10F"
"25",NA,"23A","16F","19F","20"
"26",NA,"23F","18A","21","22A"
"27",NA,"27","18C","23F","23A"
"28",NA,"35B","19A","35B","27"
"29",NA,"35F","19F","6A","33A"
"30",NA,"6A","21","6B","35A"
"31",NA,"6B","22F",NA,"35B"
"32",NA,NA,"23A",NA,"37"
"33",NA,NA,"23B",NA,"4"
"34",NA,NA,"23F",NA,"5"
"35",NA,NA,"3",NA,"7C"
"36",NA,NA,"31",NA,"15B/C"
"37",NA,NA,"33F",NA,"21"
"38",NA,NA,"34",NA,"23B"
"39",NA,NA,"35F",NA,"34"
"40",NA,NA,"37",NA,"35F"
"41",NA,NA,"6A",NA,NA
"42",NA,NA,"6B",NA,NA
"43",NA,NA,"6C",NA,NA
"44",NA,NA,"9V",NA,NA
