"","Alabama.pre.PCV","Atlanta.pre.PCV","Bogota.pre.PCV","Caracas.pre.PCV","Czech.pre.PCV","E.W.pre.PCV","Goroka.pre.PCV","Morocco.pre.PCV","Netherlands.pre.PCV","Ontario.pre.PCV","Portugal.pre.PCV","Atlanta.post.PCV7","Barcelona.post.PCV7","Bogota.post.PCV7","France.post.PCV7","Massachusetts.post.PCV7","Navajo.post.PCV7","Netherlands.post.PCV7","France.post.PCV13","Netherlands.post.PCV10"
"1","31","14","1","1","9V","8","46","19A","7F","14","1","7F","1","3","25A","4","1","27","12F","27"
"2","5","4","14","5","1","4","1","23F","8","19A","20","22F","5","1","7F","18C","7F","7F","38","8"
"3","14","18C","9V","7F","12F","18C","5","6A","14","19F","5","38","7F","28A","10A","33F","12F","1","24F","14"
"4","1","19F","5","14","17F","7F","2","6B","1","23F","9L","33F","3","8","12F","12B","19A","24B","3","18C"
"5","4","9V","10B","19F","19A","9V","14","23A","18C","6B","19C","12F","14","9V","14","18B","3","10A","15F","23F"
"6","13","23F","12F","3","28F","14","31","3","4","11A","7F","13","19A","14","3","20","8","12F","19A","34"
"7","20","6B","15A","6A","33F","17F","36","4","9V","6A","8","3","10A","25A","1","1","15A","15A","19F","4"
"8","38","19A","18B","6B","40","20","39","8","10A",NA,"9N","19A","11A","18C","24F","7F","19F","16F","22F","9V"
"9","8","6A","18F","19A","5","3","43",NA,"17F",NA,"10A","21","15A","19A","24B","19A","33F","17F","33F","3"
"10","3","11A","22F","23F","14","38","47",NA,"19A",NA,"11A","15B/C","15B/C","6B","5","22F","38","18C","10A","1"
"11","37",NA,"24F","4","4","9N","13",NA,"23A",NA,"14","19F","16F","20","19A","3","10C","22F","15A","10A"
"12",NA,NA,"35C","9V","7F","19A","20",NA,"3",NA,"15A","23B","17F","22F","18C","6A","14","24F","21","10B"
"13",NA,NA,"7C",NA,"9N","16F","21",NA,"6B",NA,"15B/C","11A","19F","4","31","10A","15B/C","3","15B/C","15F"
"14",NA,NA,"7F",NA,"10A","15B/C","29",NA,"9N",NA,"16F","15A","21","5","9V","13","16F","31","11B","22F"
"15",NA,NA,"8",NA,"11A","22F","3",NA,"11A",NA,"18A","23A","22F","11A","22F","14","17F","36","2","24F"
"16",NA,NA,"13",NA,"15B/C","19F","34",NA,"15A",NA,"18C","35B","23A","15A","33F","17F","18C","4","4","31"
"17",NA,NA,"16F",NA,"18C","23F","38",NA,"15B/C",NA,"19A","6C","23B","15B/C","17F","18F","20","42","6A","33A"
"18",NA,NA,"18A",NA,"19F","6B","4",NA,"16F",NA,"19F",NA,"23F","16F","19F","21","21","8","7C","33F"
"19",NA,NA,"18C",NA,"23A","10A","42",NA,"19F",NA,"21",NA,"34","19F","6B","23F","22A","9V","10B","37"
"20",NA,NA,"19A",NA,"23F","18B","45",NA,"21",NA,"22F",NA,"35B","23B","15B/C","33A","22F","11A","11F","6A"
"21",NA,NA,"25A",NA,"3","23A","8",NA,"22F",NA,"23A",NA,"6A","23F","46","36","23A","14","14","7F"
"22",NA,NA,"3",NA,"35F","27",NA,NA,"23B",NA,"23B",NA,"6B","24F","10B","38","23B","15B/C","16F","11A"
"23",NA,NA,"4",NA,"37","31",NA,NA,"23F",NA,"23F",NA,"6C","35B","16F","6B","27","19A","17F","15A"
"24",NA,NA,"6B",NA,"38","35B",NA,NA,"24F",NA,"24F",NA,NA,"10A","18A","7C","31","19F","20","15B/C"
"25",NA,NA,"10A",NA,"6A","6A",NA,NA,"33F",NA,"3",NA,NA,"13","7C","9A","33A","21","23A","16F"
"26",NA,NA,"11A",NA,"6B","11A",NA,NA,"35B",NA,"31",NA,NA,"17F","9A","9V","34","23A","24A","17F"
"27",NA,NA,"15B/C",NA,"8","21",NA,NA,"38",NA,"33F",NA,NA,"18A","9L","11A","35B","23B","25A","19A"
"28",NA,NA,"15F",NA,NA,"35F",NA,NA,"6A",NA,"34",NA,NA,"19B","12B","15A","37","23F","29","19F"
"29",NA,NA,"19B",NA,NA,NA,NA,NA,NA,NA,"35F",NA,NA,"23A","15A","15B/C","4","33A","31","21"
